Loser,Winner,Date
KC,FK,7/6/2017
KC,ZF,7/6/2017
KZ,HW,9/6/2017
KZ,KT,9/6/2017
KZ,FK,9/6/2017
KC,KZ,10/6/2017
KZ,HW,11/6/2017
KZ,HW,11/6/2017
JS,HW,13/6/2017
JS,MS,13/6/2017
JS,HW,13/6/2017
KC,SQ,17/6/2017
KC,ZL,17/6/2017
PS,HW,19/6/2017
PS,HW,19/6/2017
FK,HW,27/6/2017
ZL,FK,27/6/2017
PS,FK,27/6/2017
KC,SM,1/7/2017
ZD,SM,1/7/2017
KS,SM,1/7/2017
KS,SM,1/7/2017
KS,SM,1/7/2017
KZ,SM,1/7/2017
KS,SM,1/7/2017
ZF,MS,2/7/2017
KC,ZF,3/7/2017
KS,KZ,4/7/2017
JS,FK,4/7/2017
JS,PS,4/7/2017
SM,JS,4/7/2017
KZ,HW,4/7/2017
JS,MS,4/7/2017
KZ,HW,4/7/2017
KZ,HW,4/7/2017
JS,FK,4/7/2017
ZL,MS,5/7/2017
ZL,ZF,5/7/2017
KZ,HW,6/7/2017
KZ,MS,7/7/2017
KS,KZ,7/7/2017
KC,HW,8/7/2017
ZD,HW,9/7/2017
ZD,KT,9/7/2017
ZF,HW,11/7/2017
KZ,SQ,23/7/2017
KC,HW,27/7/2017
KZ,HW,30/7/2017
JS,FK,2/8/2017
JS,SM,2/8/2017
JS,SM,2/8/2017
JS,SM,2/8/2017
JS,HW,3/8/2017
JS,ZF,3/8/2017
JS,HW,3/8/2017
PS,FK,4/8/2017
PS,FK,4/8/2017
ZD,HW,10/8/2017
KC,HW,11/8/2017
ZL,HW,11/8/2017
SQ,HW,11/8/2017
JS,ZL,12/8/2017
JS,SM,12/8/2017
JS,FK,13/8/2017
KS,SM,14/8/2017
KS,SM,14/8/2017
JS,SM,14/8/2017
FK,MS,16/8/2017
JS,HW,16/8/2017
JS,MS,21/8/2017
MS,HW,21/8/2017
PS,HW,28/8/2017
JS,PS,28/8/2017
KC,HW,29/8/2017
KT,HW,29/8/2017
ZL,HW,29/8/2017
ZF,HW,29/8/2017
ZD,HW,2/9/2017
ZD,HW,2/9/2017
SQ,HW,2/9/2017
JS,ZL,6/9/2017
ZL,FK,6/9/2017
ZL,HW,6/9/2017
ZL,HW,6/9/2017
MB,ZL,6/9/2017
KC,KZ,7/9/2017
KZ,SQ,7/9/2017
ZF,HW,8/9/2017
KC,HW,8/9/2017
SQ,HW,8/9/2017
SM,FK,10/9/2017
PS,FK,10/9/2017
FK,HW,10/9/2017
KS,FK,10/9/2017
MB,SM,11/9/2017
PS,HW,12/9/2017
KT,HW,16/9/2017
KS,HW,18/9/2017
KC,HW,18/9/2017
KC,HW,18/9/2017
ZF,HW,18/9/2017
KS,ZF,21/9/2017
ZD,HW,24/9/2017
ZD,FK,24/9/2017
ZD,MS,25/9/2017
ZD,FK,25/9/2017
ZD,FK,25/9/2017
FK,HW,25/9/2017
ZD,SQ,25/9/2017
ZD,HW,25/9/2017
ZD,HW,25/9/2017
ZD,HW,25/9/2017
PS,FK,26/9/2017
KC,SQ,26/9/2017
PS,FK,26/9/2017
PS,FK,26/9/2017
FK,HW,26/9/2017
SM,MS,28/9/2017
KC,SM,28/9/2017
KS,SM,28/9/2017
ZD,KT,29/9/2017
KT,HW,30/9/2017
KT,HW,30/9/2017
JS,SM,1/10/2017
KC,KT,4/10/2017
KC,SM,4/10/2017
KC,HW,4/10/2017
KZ,HW,5/10/2017
KZ,HW,5/10/2017
KZ,FK,5/10/2017
KZ,HW,5/10/2017
JS,FK,6/10/2017
KS,ZL,8/10/2017
JS,ZL,8/10/2017
KZ,MS,10/10/2017
SM,MS,13/10/2017
SM,HW,13/10/2017
KT,HW,14/10/2017
SQ,HW,15/10/2017
ZF,HW,17/10/2017
KZ,ZL,18/10/2017
KZ,SQ,18/10/2017
HW,MS,22/10/2017
SQ,HW,22/10/2017
KT,HW,22/10/2017
KS,HW,22/10/2017
KS,HW,22/10/2017
PS,HW,22/10/2017
JS,HW,22/10/2017
KT,HW,22/10/2017
ZF,FK,23/10/2017
KS,MS,23/10/2017
KC,SQ,24/10/2017
ZD,FK,25/10/2017
KS,PS,27/10/2017
KS,PS,27/10/2017
KS,PS,27/10/2017
KS,FK,8/11/2017
KS,FK,8/11/2017
KZ,SM,9/11/2017
SM,SQ,10/11/2017
JS,SQ,10/11/2017
KT,FK,13/11/2017
KS,PS,16/11/2017
ZD,PS,16/11/2017
KS,PS,16/11/2017
ZD,PS,16/11/2017
PS,HW,16/11/2017
KC,KZ,17/11/2017
KZ,SQ,17/11/2017
KZ,HW,17/11/2017
KZ,HW,17/11/2017
SQ,MS,18/11/2017
KC,MS,18/11/2017
KZ,MS,18/11/2017
KT,MS,18/11/2017
KS,SM,21/11/2017
ZD,HW,21/11/2017
ZD,HW,21/11/2017
JS,HW,21/11/2017
KC,PS,22/11/2017
KS,SQ,25/11/2017
KS,SQ,1/12/2017
KS,HW,1/12/2017
KS,HW,1/12/2017
KS,FK,1/12/2017
KS,SQ,2/12/2017
KC,SQ,2/12/2017
PS,HW,5/12/2017
KZ,HW,5/12/2017
JS,PS,7/12/2017
KS,PS,7/12/2017
KS,PS,7/12/2017
PS,HW,7/12/2017
KZ,PS,7/12/2017
ZF,SQ,8/12/2017
ZF,HW,8/12/2017
ZF,HW,8/12/2017
KC,HW,11/12/2017
KC,HW,11/12/2017
KC,HW,15/12/2017
KZ,HW,15/12/2017
KC,HW,15/12/2017
JS,HW,15/12/2017
SM,HW,15/12/2017
ZF,HW,15/12/2017
ZD,HW,15/12/2017
KC,HW,15/12/2017
KS,PS,16/12/2017
JS,PS,16/12/2017
JS,HW,16/12/2017
JS,FK,16/12/2017
JS,HW,16/12/2017
KS,HW,17/12/2017
KS,PS,17/12/2017
KS,ZF,17/12/2017
KS,SM,17/12/2017
KC,SQ,19/12/2017
KC,KZ,19/12/2017
KC,ZL,19/12/2017
KC,ZL,19/12/2017
FK,KC,19/12/2017
KC,HW,19/12/2017
KC,FK,21/12/2017
KC,MS,21/12/2017
KC,MS,21/12/2017
KS,KT,22/12/2017
KS,MS,22/12/2017
KS,HW,22/12/2017
KS,SM,22/12/2017
KS,FK,22/12/2017
KS,MS,22/12/2017
KS,MS,22/12/2017
ZL,HW,23/12/2017
